material_id,bulk_modulus,kvrh,cif
0,50.999999999999986,1.7075701760979363,"# generated using pymatgen
data_Ca(AgGe)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.37717875
_cell_length_b   4.37717875
_cell_length_c   6.31329232
_cell_angle_alpha   110.28338823
_cell_angle_beta   110.28338823
_cell_angle_gamma   90.00000006
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ca(AgGe)2
_chemical_formula_sum   'Ca1 Ag2 Ge2'
_cell_volume   105.42674934
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.00000000  0.00000000  0.00000000  1
  Ge  Ge1  1  0.38949211  0.38949211  0.77898422  1
  Ge  Ge2  1  0.61050789  0.61050789  0.22101578  1
  Ag  Ag3  1  0.75000000  0.25000000  0.50000000  1
  Ag  Ag4  1  0.25000000  0.75000000  0.50000000  1
"
1,42.99999999999999,1.6334684555795864,"# generated using pymatgen
data_Ba(MgGe)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.70052039
_cell_length_b   4.70052040
_cell_length_c   6.62974170
_cell_angle_alpha   110.76295858
_cell_angle_beta   110.76295863
_cell_angle_gamma   89.99999997
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba(MgGe)2
_chemical_formula_sum   'Ba1 Mg2 Ge2'
_cell_volume   126.74464557
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.75000000  0.25000000  0.50000000  1
  Mg  Mg1  1  0.25000000  0.75000000  0.50000000  1
  Ge  Ge2  1  0.61621583  0.61621583  0.23243165  1
  Ge  Ge3  1  0.38378417  0.38378417  0.76756835  1
  Ba  Ba4  1  0.00000000  0.00000000  0.00000000  1
"
3,131.00000000000006,2.1172712956557644,"# generated using pymatgen
data_DyPd3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.12856163
_cell_length_b   4.12856163
_cell_length_c   4.12856163
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyPd3
_chemical_formula_sum   'Dy1 Pd3'
_cell_volume   70.37142023
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.50000000  0.00000000  0.50000000  1
  Pd  Pd1  1  0.00000000  0.50000000  0.50000000  1
  Pd  Pd2  1  0.50000000  0.50000000  0.00000000  1
  Dy  Dy3  1  0.00000000  0.00000000  0.00000000  1
"
5,115.00000000000003,2.060697840353612,"# generated using pymatgen
data_TiAl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.82410522
_cell_length_b   2.82410522
_cell_length_c   4.06471199
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiAl
_chemical_formula_sum   'Ti1 Al1'
_cell_volume   32.41839620
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.00000000  0.00000000  0.00000000  1
  Ti  Ti1  1  0.50000000  0.50000000  0.50000000  1
"
6,99.0,1.99563519459755,"# generated using pymatgen
data_ErPd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.48101204
_cell_length_b   3.48101204
_cell_length_c   3.48101204
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ErPd
_chemical_formula_sum   'Er1 Pd1'
_cell_volume   42.18097132
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.50000000  0.50000000  0.50000000  1
  Er  Er1  1  0.00000000  0.00000000  0.00000000  1
"
10,77.0,1.8864907251724818,"# generated using pymatgen
data_TmAl3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.22258507
_cell_length_b   4.22258507
_cell_length_c   4.22258507
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TmAl3
_chemical_formula_sum   'Tm1 Al3'
_cell_volume   75.28964050
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.00000000  0.50000000  0.50000000  1
  Al  Al1  1  0.50000000  0.50000000  0.00000000  1
  Al  Al2  1  0.50000000  0.00000000  0.50000000  1
  Tm  Tm3  1  0.00000000  0.00000000  0.00000000  1
"
18,82.0,1.9138138523837167,"# generated using pymatgen
data_FeSb3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.94865111
_cell_length_b   7.94865111
_cell_length_c   7.94865111
_cell_angle_alpha   109.47122063
_cell_angle_beta   109.47122063
_cell_angle_gamma   109.47122063
_symmetry_Int_Tables_number   1
_chemical_formula_structural   FeSb3
_chemical_formula_sum   'Fe4 Sb12'
_cell_volume   386.59694213
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.50000000  0.50000000  0.50000000  1
  Fe  Fe1  1  0.50000000  0.00000000  0.00000000  1
  Fe  Fe2  1  0.00000000  0.00000000  0.50000000  1
  Fe  Fe3  1  0.00000000  0.50000000  0.00000000  1
  Sb  Sb4  1  0.66908722  0.84029251  0.50937973  1
  Sb  Sb5  1  0.84029251  0.50937973  0.66908722  1
  Sb  Sb6  1  0.50937973  0.66908722  0.84029251  1
  Sb  Sb7  1  0.66908722  0.15970749  0.82879471  1
  Sb  Sb8  1  0.84029251  0.17120529  0.33091278  1
  Sb  Sb9  1  0.15970749  0.82879471  0.66908722  1
  Sb  Sb10  1  0.17120529  0.33091278  0.84029251  1
  Sb  Sb11  1  0.15970749  0.49062027  0.33091278  1
  Sb  Sb12  1  0.33091278  0.15970749  0.49062027  1
  Sb  Sb13  1  0.49062027  0.33091278  0.15970749  1
  Sb  Sb14  1  0.33091278  0.84029251  0.17120529  1
  Sb  Sb15  1  0.82879471  0.66908722  0.15970749  1
"
19,11.000000000000002,1.0413926851582251,"# generated using pymatgen
data_RbHg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.40730101
_cell_length_b   7.05818820
_cell_length_c   7.05818820
_cell_angle_alpha   75.55964013
_cell_angle_beta   67.47716364
_cell_angle_gamma   67.47716368
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RbHg2
_chemical_formula_sum   'Rb2 Hg4'
_cell_volume   228.18600352
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.94761603  0.30238397  0.30238397  1
  Rb  Rb1  1  0.05238397  0.69761603  0.69761603  1
  Hg  Hg2  1  0.33532929  0.10319316  0.72614825  1
  Hg  Hg3  1  0.66467071  0.89680684  0.27385175  1
  Hg  Hg4  1  0.66467071  0.27385175  0.89680684  1
  Hg  Hg5  1  0.33532929  0.72614825  0.10319316  1
"
22,93.99999999999997,1.9731278535996986,"# generated using pymatgen
data_HoGa2Pd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.53391709
_cell_length_b   5.53391709
_cell_length_c   6.60490803
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   47.17374452
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HoGa2Pd
_chemical_formula_sum   'Ho2 Ga4 Pd2'
_cell_volume   148.34875125
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.41139107  0.41139107  0.25000000  1
  Ho  Ho1  1  0.58860793  0.58860793  0.75000000  1
  Ga  Ga2  1  0.12698670  0.12698670  0.05271237  1
  Ga  Ga3  1  0.87301230  0.87301230  0.55271337  1
  Ga  Ga4  1  0.87301230  0.87301230  0.94728763  1
  Ga  Ga5  1  0.12698670  0.12698670  0.44728663  1
  Pd  Pd6  1  0.69994282  0.69994282  0.25000000  1
  Pd  Pd7  1  0.30005718  0.30005718  0.75000000  1
"
23,32.00000000000001,1.505149978319906,"# generated using pymatgen
data_Li2Sb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.95140493
_cell_length_b   7.95140492
_cell_length_c   6.56835113
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999999
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2Sb
_chemical_formula_sum   'Li12 Sb6'
_cell_volume   359.64558560
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.29100576  0.00000000  0.00000000  1
  Li  Li1  1  0.70899424  0.70899424  0.50000000  1
  Li  Li2  1  0.00000000  0.29100576  0.50000000  1
  Li  Li3  1  0.00000000  0.29100576  0.00000000  1
  Li  Li4  1  0.70899424  0.70899424  0.00000000  1
  Li  Li5  1  0.29100576  0.00000000  0.50000000  1
  Li  Li6  1  0.63732053  0.00989081  0.25000000  1
  Li  Li7  1  0.37257028  0.36267947  0.25000000  1
  Li  Li8  1  0.99010919  0.62742972  0.25000000  1
  Li  Li9  1  0.62742972  0.99010919  0.75000000  1
  Li  Li10  1  0.36267947  0.37257028  0.75000000  1
  Li  Li11  1  0.00989081  0.63732053  0.75000000  1
  Sb  Sb12  1  0.00000000  0.00000000  0.25000000  1
  Sb  Sb13  1  0.00000000  0.00000000  0.75000000  1
  Sb  Sb14  1  0.33333333  0.66666667  0.02377228  1
  Sb  Sb15  1  0.33333333  0.66666667  0.47622772  1
  Sb  Sb16  1  0.66666667  0.33333333  0.97622772  1
  Sb  Sb17  1  0.66666667  0.33333333  0.52377228  1
"
